Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP (current US$),,,,,,,,,,,,,,,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
Albania,GDP (current US$),2051236250,2253090000,2028553750,1099559028,"652174990,8",1185315468,1880950858,2392764853,3199640826,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Algeria,GDP (current US$),59089400190,55634719135,62048505222,45715676428,48003133347,49945585166,42543177031,41764291964,46941553940,48177612042,48187781711,48640671735,54790398813,54744698044,56760355865,67863850334,85332581189,103198211973,117027280692,134977082624,171000699877,137211004291,161207306305,200013097903,209059081828,209755003251,213809980721,165979224317,160034212613,170096989043,174910891124,171760290068,145743722826,163472233246,191912889421
Andorra,GDP (current US$),"721425971,8",795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Angola,GDP (current US$),8769836769,10201780977,11229515599,12704558517,15114352005,11051939102,3390500000,5561222222,7526963964,7648377413,6506229607,6152922943,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,109436566876,124998210652,133401582620,137244439121,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,106713618735
Antigua and Barbuda,GDP (current US$),"398637727,8","438794788,5","459470370,4","481707407,4","499281481,5","535174074,1","589429629,6","577281481,5","633729629,6","680618518,5","727859259,3",766200000,"826370370,4","800481481,5","814381481,5","856396296,3","919729629,6",1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
Argentina,GDP (current US$),126890235049,76629728760,141352630147,189719984268,228778994288,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530158176674,545982375701,552025140252,526319673732,594749285413,557532317363,643628396190,524819898587,447754686715,385540406816,487227125386,632770284409
Armenia,GDP (current US$),,,2256838858,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469515,6384452071,9206301264,11662040704,8647937091,9260285762,10142111812,10619320693,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
Aruba,GDP (current US$),"596648044,7","695530726,3","764804469,3","872067039,1","958659217,9",1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
Australia,GDP (current US$),236152526239,299875825287,311430632641,325981640935,325532426233,312138139404,322809408509,368140778141,401310823653,435613768960,399660855999,389389647826,415844972940,379357823193,395573025330,467497961561,614326362214,695305000207,747907432137,854427259166,1055686110666,928629769752,1148569537285,1398456161408,1546952690140,1576329690004,1467589901175,1350580336317,1206562910557,1326467487376,1428266513154,1392218527563,1326944627877,1552703151616,1675418665067
Austria,GDP (current US$),133339397080,133105805512,166463386179,173794177961,195078126722,190379720809,203535242742,241038283063,237250948791,212790348405,218259904402,217259147050,197289625480,197508773215,214394866675,262273631180,301457562039,316092273276,336280064332,389185571506,432051935643,401758735822,392275107259,431685217368,409401816051,430190979706,442584815286,381971148531,395837353032,417261151845,454991174096,444621176101,435225238000,480368403893,471400066091
Azerbaijan,GDP (current US$),,,8858006042,5344000000,"444658671,6",1570392598,1193141110,2417332562,3176507992,3962362387,4446370371,4581246713,5272617196,5707618247,6236086669,7276413079,8680410158,13245421881,20981929498,33049426816,48851318826,44292408817,52909294792,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,42693000000,54825411765,78721058824
